"Season","School","Conf","G","GS","MP","FG","FGA","FG%","2P","2PA","2P%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","","SOS"
"2021-22","Baylor","Big 12","30","1","25.1","3.3","7.0",".474","2.5","4.3",".585","0.8","2.7",".296","1.8","3.0",".589","2.0","4.4","6.4","1.8","1.3","0.7","1.6","2.3","9.2","","8.76"
"Career","Baylor","","30","1","25.1","3.3","7.0",".474","2.5","4.3",".585","0.8","2.7",".296","1.8","3.0",".589","2.0","4.4","6.4","1.8","1.3","0.7","1.6","2.3","9.2","","8.76"
